"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1008.8","1012.3","26.6","23.3","82","1.3","110","4.4","140","0.0","0.0","--","0.00","--","0","--"
"02","1008.5","1012.0","26.6","23.3","82","2.1","90","4.8","90","0.0","0.0","--","0.00","--","0","--"
"03","1008.4","1011.9","26.6","23.1","81","1.7","90","6.0","80","0.0","0.0","--","0.00","--","0","--"
"04","1008.6","1012.1","26.5","22.6","79","1.2","80","5.5","80","0.0","0.0","--","0.00","--","0","--"
"05","1008.8","1012.3","26.6","22.2","77","1.5","40","4.4","30","0.0","0.0","--","0.00","--","0","--"
"06","1009.1","1012.6","26.6","22.2","77","1.4","100","4.1","40","0.0","0.0","0.0","0.00","--","0","--"
"07","1009.6","1013.1","26.4","23.1","82","0.5","120","3.2","80","0.0","0.0","0.0","0.04","--","0","--"
"08","1009.9","1013.4","26.3","23.2","83","2.1","180","4.0","190","0.0","0.0","0.0","0.17","25.0","0","10.0"
"09","1010.1","1013.6","26.3","24.0","87","1.2","110","4.8","150","T","0.3","0.0","0.25","20.0","1","10.0"
"10","1010.0","1013.5","26.8","23.3","81","2.1","70","5.4","100","T","0.3","0.0","0.37","--","1","--"
"11","1009.8","1013.3","27.3","23.1","78","2.0","80","7.4","80","0.0","0.0","0.0","0.77","15.0","3","9.0"
"12","1009.2","1012.7","26.9","22.8","78","2.5","70","7.8","50","0.0","0.0","0.0","0.46","--","2","--"
"13","1009.1","1012.6","26.9","21.9","74","3.3","80","9.1","70","0.0","0.0","0.0","0.49","--","2","--"
"14","1008.7","1012.2","27.6","21.9","71","2.3","80","9.7","60","0.0","0.0","0.0","0.75","30.0","2","9.0"
"15","1008.1","1011.6","27.9","21.2","67","3.4","80","10.2","80","0.0","0.0","0.6","1.85","--","4","--"
"16","1007.6","1011.1","27.8","20.9","66","3.7","70","9.1","60","0.0","0.0","0.5","1.10","--","2","--"
"17","1007.9","1011.4","27.0","21.3","71","2.7","80","7.9","80","0.0","0.0","0.3","0.42","18.0","1","7.0"
"18","1008.5","1012.0","26.7","21.0","71","2.0","60","9.5","80","0.0","0.0","0.0","0.04","--","0","--"
"19","1009.2","1012.7","26.4","20.3","69","2.5","80","7.0","50","0.0","0.0","0.0","0.00","--","0","--"
"20","1009.7","1013.2","26.2","20.3","70","1.4","60","6.3","80","0.0","0.0","--","0.00","--","0","--"
"21","1009.9","1013.4","25.9","20.5","72","1.8","130","3.8","110","0.0","0.0","--","0.00","--","0","--"
"22","1009.7","1013.2","25.8","20.8","74","1.9","150","3.9","150","0.0","0.0","--","0.00","--","0","--"
"23","1009.5","1013.0","25.6","21.1","76","1.5","140","3.2","130","0.0","0.0","--","0.00","--","0","--"
"24","1008.9","1012.4","25.3","21.2","78","1.2","150","2.7","120","0.0","0.0","--","0.00","--","0","--"
