"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1011.8","1015.4","18.9","18.4","97","1.9","320","6.2","340","0.0","0.0","--","0.00","--","0","--"
"02","1011.3","1014.9","19.1","18.4","96","0.9","260","5.7","320","0.0","0.0","--","0.00","--","0","--"
"03","1011.3","1014.9","18.8","18.6","99","0.7","220","2.9","310","0.0","0.0","--","0.00","--","0","--"
"04","1011.1","1014.7","18.9","18.7","99","0.8","250","2.3","280","0.0","0.0","--","0.00","--","0","--"
"05","1011.8","1015.4","18.8","18.6","99","0.7","250","3.2","320","T","0.2","--","0.00","--","0","--"
"06","1012.6","1016.2","19.0","18.2","95","0.9","270","3.7","330","T","0.1","0.0","0.00","--","0","--"
"07","1013.2","1016.8","18.8","18.5","98","1.1","220","3.3","300","T","0.3","0.0","0.01","--","0","--"
"08","1013.6","1017.2","19.5","18.7","95","0.8","220","2.3","230","0.0","0.0","0.0","0.11","15.0","0","10.0"
"09","1013.9","1017.5","19.7","18.5","93","1.3","160","2.4","160","0.0","0.0","0.0","0.21","15.0","0","10.0"
"10","1013.8","1017.4","19.3","18.5","95","1.6","120","2.9","120","T","1.0","0.0","0.13","--","0","--"
"11","1013.1","1016.7","19.3","19.0","98","1.5","150","2.5","120","T","1.0","0.0","0.24","7.0","1","10.0"
"12","1011.8","1015.4","19.4","18.6","95","1.4","220","3.3","140","T","0.6","0.0","0.47","--","1","--"
"13","1011.1","1014.7","19.2","18.6","96","1.0","300","3.1","310","T","1.0","0.0","0.29","--","1","--"
"14","1011.0","1014.6","19.1","18.3","95","1.0","290","3.1","310","T","1.0","0.0","0.19","15.0","1","10.0"
"15","1011.3","1014.9","19.0","18.0","94","1.3","180","2.4","310","T","0.3","0.0","0.11","--","0","--"
"16","1011.8","1015.4","19.0","16.6","86","1.6","100","3.4","80","0.0","0.0","0.0","0.07","--","0","--"
"17","1012.2","1015.8","19.2","16.3","83","1.6","100","4.8","60","0.0","0.0","0.0","0.03","18.0","0","10.0"
"18","1012.5","1016.1","19.1","16.7","86","1.5","120","4.8","100","0.0","0.0","0.0","0.00","--","0","--"
"19","1012.9","1016.5","19.3","16.7","85","2.5","110","5.1","100","0.0","0.0","0.0","0.00","--","0","--"
"20","1012.7","1016.3","19.3","17.4","89","2.5","100","6.2","80","0.0","0.0","--","0.00","--","0","--"
"21","1012.7","1016.3","19.5","17.3","87","1.1","100","5.8","90","0.0","0.0","--","0.00","--","0","--"
"22","1013.0","1016.6","19.6","17.2","86","1.4","90","4.1","90","0.0","0.0","--","0.00","--","0","--"
"23","1012.4","1016.0","19.5","17.1","86","1.2","90","3.9","100","0.0","0.0","--","0.00","--","0","--"
"24","1012.4","1016.0","19.7","17.3","86","2.0","100","4.3","90","0.0","0.0","--","0.00","--","0","--"
